d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
d, 27, C, 0, :, 1200, C, 1, :, 1200, C, 2, :, 1200, C, 3, :, 1200, C, 4, :, 1200, C, 5, :, 1200, M, A, :, 0, 8802, -1, 
